Entity,Code,Date,"Excess mortality P-scores, all ages (%)"
Italy,ITA,"Mar 8, 2020",11
Italy,ITA,"Mar 15, 2020",42
Italy,ITA,"Mar 22, 2020",78
Italy,ITA,"Mar 29, 2020",90
Italy,ITA,"Apr 5, 2020",69
Italy,ITA,"Apr 12, 2020",56
Italy,ITA,"Apr 19, 2020",39
Italy,ITA,"Apr 26, 2020",24
Italy,ITA,"May 3, 2020",13
Italy,ITA,"May 10, 2020",7
Italy,ITA,"May 17, 2020",4
Italy,ITA,"May 24, 2020",-2
Italy,ITA,"May 31, 2020",-4
Italy,ITA,"Jun 7, 2020",-6
Italy,ITA,"Jun 14, 2020",-10
Italy,ITA,"Jun 21, 2020",-6
Italy,ITA,"Jun 28, 2020",0
Latvia,LVA,"Jan 5, 2020",-2
Latvia,LVA,"Jan 12, 2020",-5
Latvia,LVA,"Jan 19, 2020",-15
Latvia,LVA,"Jan 26, 2020",-10
Latvia,LVA,"Feb 2, 2020",-9
Latvia,LVA,"Feb 9, 2020",-10
Latvia,LVA,"Feb 16, 2020",-10
Latvia,LVA,"Feb 23, 2020",-13
Latvia,LVA,"Mar 1, 2020",-29
Latvia,LVA,"Mar 8, 2020",-22
Latvia,LVA,"Mar 15, 2020",-14
Latvia,LVA,"Mar 22, 2020",-6
Latvia,LVA,"Mar 29, 2020",-11
Latvia,LVA,"Apr 5, 2020",-4
Latvia,LVA,"Apr 12, 2020",-15
Latvia,LVA,"Apr 19, 2020",4
Latvia,LVA,"Apr 26, 2020",-2
Latvia,LVA,"May 3, 2020",4
Latvia,LVA,"May 10, 2020",7
Latvia,LVA,"May 17, 2020",-2
Latvia,LVA,"May 24, 2020",7
Latvia,LVA,"May 31, 2020",-4
Latvia,LVA,"Jun 7, 2020",0
Latvia,LVA,"Jun 14, 2020",10
Latvia,LVA,"Jun 21, 2020",-6
Latvia,LVA,"Jun 28, 2020",-4
Latvia,LVA,"Jul 5, 2020",22
Latvia,LVA,"Jul 12, 2020",-8
Latvia,LVA,"Jul 19, 2020",-5
Latvia,LVA,"Jul 26, 2020",-1
Latvia,LVA,"Aug 2, 2020",1
Latvia,LVA,"Aug 9, 2020",-3
Latvia,LVA,"Aug 16, 2020",3
Latvia,LVA,"Aug 23, 2020",11
Lithuania,LTU,"Jan 5, 2020",-6
Lithuania,LTU,"Jan 12, 2020",-8
Lithuania,LTU,"Jan 19, 2020",-14
Lithuania,LTU,"Jan 26, 2020",-14
Lithuania,LTU,"Feb 2, 2020",-16
Lithuania,LTU,"Feb 9, 2020",-15
Lithuania,LTU,"Feb 16, 2020",-8
Lithuania,LTU,"Feb 23, 2020",-21
Lithuania,LTU,"Mar 1, 2020",-7
Lithuania,LTU,"Mar 8, 2020",-8
Lithuania,LTU,"Mar 15, 2020",-6
Lithuania,LTU,"Mar 22, 2020",0
Lithuania,LTU,"Mar 29, 2020",4
Lithuania,LTU,"Apr 5, 2020",-3
Lithuania,LTU,"Apr 12, 2020",2
Lithuania,LTU,"Apr 19, 2020",0
Lithuania,LTU,"Apr 26, 2020",3
Lithuania,LTU,"May 3, 2020",3
Lithuania,LTU,"May 10, 2020",-6
Lithuania,LTU,"May 17, 2020",-1
Lithuania,LTU,"May 24, 2020",-8
Lithuania,LTU,"May 31, 2020",-1
Lithuania,LTU,"Jun 7, 2020",-1
Lithuania,LTU,"Jun 14, 2020",15
Lithuania,LTU,"Jun 21, 2020",7
Lithuania,LTU,"Jun 28, 2020",11
Lithuania,LTU,"Jul 5, 2020",-2
Lithuania,LTU,"Jul 12, 2020",-1
Lithuania,LTU,"Jul 19, 2020",7
Lithuania,LTU,"Jul 26, 2020",-7
Lithuania,LTU,"Aug 2, 2020",0
Luxembourg,LUX,"Jan 5, 2020",-27
Luxembourg,LUX,"Jan 12, 2020",-8
Luxembourg,LUX,"Jan 19, 2020",3
Luxembourg,LUX,"Jan 26, 2020",-2
Luxembourg,LUX,"Feb 2, 2020",-9
Luxembourg,LUX,"Feb 9, 2020",-7
Luxembourg,LUX,"Feb 16, 2020",-29
Luxembourg,LUX,"Mar 1, 2020",-16
Luxembourg,LUX,"Mar 15, 2020",12
Luxembourg,LUX,"Mar 22, 2020",3
Luxembourg,LUX,"Mar 29, 2020",30
Luxembourg,LUX,"Apr 5, 2020",8
Luxembourg,LUX,"Apr 12, 2020",62
Luxembourg,LUX,"Apr 19, 2020",13
Luxembourg,LUX,"Apr 26, 2020",13
Luxembourg,LUX,"May 3, 2020",-4
Luxembourg,LUX,"May 10, 2020",26
