state,date,new_cases,new_deaths,population,google_mobility_level,google_mobility_level_by_pop,aggregation,new_cases_rolling_mean,new_deaths_rolling_mean,google_mobility_level_rolling_mean,new_cases_rolling_mean_rel,new_deaths_rolling_mean_rel,google_mobility_level_rolling_mean_rel
New Jersey,2020-03-08,2.0,,8882190.0,104.0,923747760.0,New Jersey,,,,,,
Michigan,2020-03-08,40.0,,9986857.0,112.0,1118527984.0,Michigan,22.714285714285715,,107.57142857142857,0.017843115250813602,,0.996031746031746
Utah,2020-03-08,0.0,,3205958.0,105.66666666666667,338762895.3333334,Utah,,,,,,
Ohio,2020-03-08,0.0,,11689100.0,110.33333333333333,1289697366.6666665,Ohio,,,,,,
Missouri,2020-03-08,1.0,,6137428.0,113.0,693529364.0,Missouri,,,,,,
North Dakota,2020-03-08,0.0,,762062.0,107.33333333333333,81794654.66666666,North Dakota,,,,,,
Louisiana,2020-03-08,0.0,,4648794.0,111.0,516016134.0,Louisiana,,,,,,
Arkansas,2020-03-08,0.0,,3017804.0,110.33333333333333,332964374.6666666,Arkansas,,,,,,
Washington,2020-03-08,153.0,4.0,7614893.0,100.0,761489300.0,Washington,98.28571428571429,3.2857142857142856,98.23809523809521,0.10105757931844889,0.1377245508982036,0.9292792792792792
Pennsylvania,2020-03-08,2.0,,12801989.0,108.0,1382614812.0,Pennsylvania,,,,,,
Wyoming,2020-03-08,0.0,,578759.0,105.0,60769695.0,Wyoming,,,,,,
Georgia,2020-03-08,1.0,,10617423.0,104.33333333333333,1107751133.0,Georgia,,,,,,
Colorado,2020-03-08,0.0,,5758736.0,103.66666666666667,596988965.3333334,Colorado,,,,,,
Kansas,2020-03-08,1.0,,2913314.0,113.0,329204482.0,Kansas,,,,,,
Oregon,2020-03-08,7.0,,4217737.0,105.33333333333333,444268297.3333333,Oregon,,,,,,
North Carolina,2020-03-08,0.0,,10488084.0,105.66666666666667,1108240876.0,North Carolina,,,,,,
Oklahoma,2020-03-08,0.0,,3956971.0,106.66666666666667,422076906.6666667,Oklahoma,,,,,,
Connecticut,2020-03-08,1.0,,3565287.0,106.66666666666667,380297280.0,Connecticut,,,,,,
Minnesota,2020-03-08,0.0,,5639632.0,107.33333333333333,605320501.3333333,Minnesota,,,,,,
West Virginia,2020-03-08,0.0,,1792147.0,115.33333333333333,206694287.3333333,West Virginia,,,,,,
New Hampshire,2020-03-08,2.0,,1359711.0,110.66666666666667,150474684.0,New Hampshire,,,,,,
Alabama,2020-03-08,0.0,,4903185.0,111.66666666666667,547522325.0,Alabama,,,,,,
Hawaii,2020-03-08,0.0,,1415872.0,99.66666666666667,141115242.6666667,Hawaii,,,,,,
Maine,2020-03-08,0.0,,1344212.0,119.0,159961228.0,Maine,,,,,,
California,2020-03-08,19.0,,39512223.0,99.66666666666667,3938051559.0,California,,,,,,
